cpv_code,name,description
50222000,Usluge popravke i održavanja šinskih vozila,Repair and maintenance services of rolling stock
09121000,"Gas od kamenog uglja, gas za gasovodnu mrežu ili slični gasovi","Coal gas, mains gas or similar gases"
33141200,Kateteri,Catheters
50112111,Limarske usluge,Panel-beating services
16160000,Razna baštenska oprema,Miscellaneous gardening equipment
55500000,Usluge menze i usluge dostavljanja pripremljenih obroka,Canteen and catering services
92200000,Usluge radija i televizije,Radio and television services
39224340,Korpe za otpatke,Bins
44112200,Podne obloge,Floor coverings
34136000,„VAN“ vozila (dostavna vozila),Vans
48814000,Medicinski informacioni sistemi,Medical information systems
44112000,Razne građevinske konstrukcije,Miscellaneous building structures
39812500,Sredstva za zaptivanje,Sealants
72317000,Usluge skladištenja podataka,Data storage services
31682540,Oprema za podstanice,Substation equipment
77211100,Usluge eksploatacije drva,Timber harvesting services
31214190,Sklopke za ograničenje (limitatori),Limit switches
72253200,Usluge sistemske podrške,Systems support services
42113190,Rotacioni uređaji,Turning gear
39831210,Deterdženti za mašine za pranje sudova,Dishwasher detergents
33711900,Sapuni,Soap
44212240,Nosači,Girders
90911100,Usluge čišćenja stambenih objekata,Accommodation cleaning services
32350000,Delovi audio i video opreme,Parts of sound and video equipment
42515000,Kotlovi za centralno grejanje,District heating boiler
30237240,Veb kamera,Web camera
55524000,Usluge dostavljanja pripremljenih obroka u škole,School catering services
45111220,Radovi na krčenju,Scrub-removal work
79412000,Usluge savetovanja u oblasti finansijskog upravljanja,Financial management consultancy services
44619400,Bačve,Barrels
45315600,Radovi na niskonaponskim instalacijama,Low-voltage installation work
50421200,Usluge popravke i održavanja radiološke opreme,Repair and maintenance services of X-ray equipment
33751000,Pelene za jednokratnu upotrebu,Disposable nappies
85130000,Usluge stomatoloških ordinacija i srodne usluge,Dental practice and related services
42999100,"Usisivači, izuzev za domaćinstvo",Non-domestic vacuum cleaners
45211340,Radovi na izgradnji stambenih zgrada,Multi-dwelling buildings construction work
42124330,Delovi vazdušnih kompresora,Parts of air compressors
45111320,Radovi na demontaži za bezbednosne objekte,Dismantling works for security installations
30233132,Hard diskovi,Hard-disk drives
34115200,Motorna vozila za prevoz manje od 10 lica,Motor vehicles for the transport of fewer than 10 persons
60181000,Najam teretnih vozila sa vozačem,Hire of trucks with driver
39224000,"Metle, četke i drugi proizvodi raznih vrsta",Brooms and brushes and other articles of various types
39541200,Mreže od tekstila,Textile nets
16400000,Prskalice za poljoprivredu ili hortikulturu,Spraying machinery for agriculture or horticulture
44164310,Cevi i pribor,Tubes and fittings
31731100,Moduli,Modules
33696100,Reagensi za određivanje krvne grupe,Blood-grouping reagents
90923000,Usluge deratizacije,Rat-disinfestation services
24311400,"Hlorovodonik, neorganske kiseline, silicijum dioksid i sumpor dioksid","Hydrogen chloride, inorganic acids, silicon dioxide and sulphur dioxide"
22850000,Fascikle i srodni proizvodi,Binders and related accessories
79421000,Usluge upravljanja projektima izuzev građevinskih radova,Project-management services other than for construction work
15981000,Mineralna voda,Mineral water
33182000,Uređaji za stimulaciju srčane funkcije,Cardiac support devices
72266000,Usluge konsultovanja u vezi sa softverom,Software consultancy services
39561100,Trakaste tkanine; pozamanterija,Narrow-woven fabrics; trimmings
34946100,Materijal za izgradnju železničkih koloseka,Railway-track construction materials
33125000,"Urologija, uređaji za pretrage","Urology, exploration devices"
39541110,Užad,Rope
63520000,Usluge prevoznih agencija,Transport agency services
